word1	word2	POS	SimLex999
way	manner	N	7.62
mouse	cat	N	1.12
cop	sheriff	N	9.05
death	burial	N	4.93
music	melody	N	6.98
beer	alcohol	N	7.5
mouth	lip	N	7.1
storm	hurricane	N	6.38
tax	income	N	2.38
flower	violet	N	6.95
paper	cardboard	N	5.38
floor	ceiling	N	1.73
beach	seashore	N	8.33
rod	curtain	N	3.03
hound	fox	N	2.38
street	alley	N	5.48
boat	deck	N	4.28
car	horn	N	2.57
friend	guest	N	4.25
employer	employee	N	3.65
hand	wrist	N	3.97
ball	cannon	N	2.58
alcohol	brandy	N	6.98
victory	triumph	N	8.98
telephone	booth	N	3.63
door	doorway	N	5.4
motel	inn	N	8.17
clothes	cloth	N	5.47
steak	meat	N	7.47
nail	thumb	N	3.55
band	orchestra	N	7.08
book	bible	N	5
business	industry	N	7.02
winter	season	N	6.27
decade	century	N	3.48
alcohol	gin	N	8.65
hat	coat	N	2.67
window	door	N	3.33
arm	wrist	N	3.57
house	apartment	N	5.8
glass	crystal	N	6.27
wine	brandy	N	5.15
creator	maker	N	9.62
dinner	breakfast	N	3.33
arm	muscle	N	3.72
bubble	suds	N	8.57
bread	flour	N	3.33
death	tragedy	N	5.8
absence	presence	N	0.4
gun	cannon	N	5.68
grass	blade	N	4.57
ball	basket	N	1.67
hose	garden	N	1.67
boy	kid	N	7.5
church	choir	N	2.95
clothes	drawer	N	3.02
tower	bell	N	1.9
father	parent	N	7.07
school	grade	N	4.42
parent	adult	N	5.37
bar	jail	N	1.9
car	highway	N	3.4
dictionary	definition	N	6.25
door	cellar	N	1.97
army	legion	N	5.95
metal	aluminum	N	7.25
chair	bench	N	6.67
cloud	fog	N	6
boy	son	N	6.75
water	ice	N	6.47
bed	blanket	N	3.02
attorney	lawyer	N	9.35
area	zone	N	8.33
business	company	N	9.02
clothes	fabric	N	5.87
sweater	jacket	N	7.15
money	capital	N	6.67
hand	foot	N	4.17
alcohol	cocktail	N	6.73
yard	inch	N	3.78
molecule	atom	N	6.45
lens	camera	N	4.28
meal	dinner	N	7.15
eye	tear	N	3.55
god	devil	N	1.8
loop	belt	N	3.1
rat	mouse	N	7.78
motor	engine	N	8.65
car	cab	N	7.42
cat	lion	N	6.75
size	magnitude	N	6.33
reality	fantasy	N	1.03
door	gate	N	5.25
cat	pet	N	5.95
tin	aluminum	N	6.42
bone	jaw	N	4.17
cereal	wheat	N	3.75
house	key	N	1.9
blood	flesh	N	4.28
door	corridor	N	3.73
god	spirit	N	7.3
capability	competence	N	7.62
abundance	plenty	N	8.97
sofa	chair	N	6.67
wall	brick	N	4.68
horn	drum	N	2.68
organ	liver	N	6.15
strength	might	N	7.07
phrase	word	N	5.48
band	parade	N	3.92
stomach	waist	N	5.9
cloud	storm	N	5.6
joy	pride	N	5
noise	rattle	N	6.17
rain	mist	N	5.97
beer	beverage	N	5.42
man	uncle	N	3.92
apple	juice	N	2.88
intelligence	logic	N	6.5
communication	language	N	7.47
mink	fur	N	6.83
mob	crowd	N	7.85
shore	coast	N	8.83
wire	cord	N	7.62
bird	turkey	N	6.58
bed	crib	N	7.3
competence	ability	N	7.5
cloud	haze	N	7.32
supper	meal	N	7.53
bar	cage	N	2.8
water	salt	N	1.3
sense	intuition	N	7.68
situation	condition	N	6.58
crime	theft	N	7.53
style	fashion	N	8.5
boundary	border	N	9.08
arm	body	N	4.05
boat	car	N	2.37
sandwich	lunch	N	6.3
bride	princess	N	2.8
heroine	hero	N	8.78
car	gauge	N	1.13
insect	bee	N	6.07
crib	cradle	N	8.55
animal	person	N	3.05
marijuana	herb	N	6.5
bed	hospital	N	0.92
cheek	tongue	N	4.52
disc	computer	N	3.2
curve	angle	N	3.33
grass	moss	N	5
school	law	N	1.13
foot	head	N	2.3
mother	guardian	N	6.5
orthodontist	dentist	N	8.27
alcohol	whiskey	N	7.27
mouth	tooth	N	6.3
breakfast	bacon	N	4.37
bathroom	bedroom	N	3.4
plate	bowl	N	5.23
meat	bacon	N	5.8
air	helium	N	3.63
worker	employer	N	5.37
body	chest	N	4.45
son	father	N	3.82
heart	surgery	N	1.08
woman	secretary	N	1.98
man	father	N	4.83
beach	island	N	5.6
story	topic	N	5
game	fun	N	3.42
weekend	week	N	4
couple	pair	N	8.33
woman	wife	N	5.72
sheep	cattle	N	4.77
purse	bag	N	8.33
ceiling	cathedral	N	2.42
bean	coffee	N	5.15
wood	paper	N	2.88
top	side	N	1.9
crime	fraud	N	5.65
pain	harm	N	5.38
lover	companion	N	5.97
evening	dusk	N	7.78
father	daughter	N	2.62
wine	liquor	N	7.85
cow	goat	N	2.93
belief	opinion	N	7.7
reality	illusion	N	1.42
pact	agreement	N	9.02
wealth	poverty	N	1.27
accident	emergency	N	4.93
battle	conquest	N	7.22
friend	teacher	N	2.62
illness	infection	N	6.9
game	trick	N	2.32
brother	son	N	3.48
aunt	nephew	N	3.1
worker	mechanic	N	4.92
doctor	orthodontist	N	5.58
oak	maple	N	6.03
bee	queen	N	3.27
car	bicycle	N	3.47
goal	quest	N	5.83
august	month	N	5.53
army	squad	N	5.08
cloud	weather	N	4.87
physician	doctor	N	8.88
canyon	valley	N	6.75
river	valley	N	1.67
sun	sky	N	2.27
target	arrow	N	3.25
chocolate	pie	N	2.27
circumstance	situation	N	7.85
opinion	choice	N	5.43
rhythm	melody	N	6.12
gut	nerve	N	4.93
day	dawn	N	5.47
cattle	beef	N	7.03
doctor	professor	N	4.65
arm	vein	N	3.65
room	bath	N	3.33
corporation	business	N	9.02
fun	football	N	1.97
hill	cliff	N	4.28
bone	ankle	N	3.82
apple	candy	N	2.08
helper	maid	N	5.58
leader	manager	N	7.27
lemon	tea	N	1.6
bee	ant	N	2.78
basketball	baseball	N	4.92
rice	bean	N	2.72
bed	furniture	N	6.08
emotion	passion	N	7.72
anarchy	chaos	N	7.93
crime	violation	N	7.12
machine	engine	N	5.58
beach	sea	N	4.68
alley	bowl	N	1.53
jar	bottle	N	7.83
strength	capability	N	5.28
seed	mustard	N	3.48
guitar	drum	N	3.78
opinion	idea	N	5.7
north	west	N	3.63
diet	salad	N	2.98
mother	wife	N	3.02
dad	mother	N	3.55
captain	sailor	N	5
meter	yard	N	5.6
beer	champagne	N	4.45
motor	boat	N	2.57
card	bridge	N	1.97
science	psychology	N	4.92
sinner	saint	N	1.6
destruction	construction	N	0.98
crowd	bunch	N	7.42
beach	reef	N	3.77
man	child	N	4.13
bread	cheese	N	1.95
champion	winner	N	8.73
celebration	ceremony	N	7.72
menu	order	N	3.62
king	princess	N	3.27
wealth	prestige	N	6.07
endurance	strength	N	6.58
danger	threat	N	8.78
god	priest	N	4.5
men	fraternity	N	3.13
buddy	companion	N	8.65
teacher	helper	N	4.28
body	stomach	N	3.93
tongue	throat	N	3.1
house	carpet	N	1.38
intelligence	skill	N	5.35
journey	conquest	N	4.72
god	prey	N	1.23
brother	soul	N	0.97
adversary	opponent	N	9.05
death	catastrophe	N	4.13
monster	demon	N	6.95
day	morning	N	4.87
man	victor	N	1.9
friend	guy	N	3.88
song	story	N	3.97
ray	sunshine	N	6.83
guy	stud	N	5.83
chicken	rice	N	1.43
box	elevator	N	1.32
butter	potato	N	1.22
apartment	furniture	N	1.28
lake	swamp	N	4.92
salad	vinegar	N	1.13
flower	bulb	N	4.48
cloud	mist	N	6.67
driver	pilot	N	6.28
sugar	honey	N	5.13
body	shoulder	N	2.88
idea	image	N	3.55
father	brother	N	4.2
moon	planet	N	5.87
ball	costume	N	2.32
rail	fence	N	5.22
room	bed	N	2.35
flower	bush	N	4.25
bone	knee	N	4.17
arm	knee	N	2.75
bottom	side	N	2.63
vessel	vein	N	5.15
cat	rabbit	N	2.37
meat	sandwich	N	2.35
belief	concept	N	5.08
intelligence	insight	N	5.9
attention	interest	N	7.22
attitude	confidence	N	4.35
right	justice	N	7.05
argument	agreement	N	1.45
depth	magnitude	N	6.12
medium	news	N	3.65
winner	candidate	N	2.78
birthday	date	N	5.08
fee	payment	N	7.15
bible	hymn	N	5.15
exit	doorway	N	5.5
man	sentry	N	3.25
aisle	hall	N	6.35
whiskey	gin	N	6.28
blood	marrow	N	3.4
oil	mink	N	1.23
floor	deck	N	5.55
roof	floor	N	2.62
door	floor	N	1.67
shoulder	head	N	3.42
wagon	carriage	N	7.7
car	carriage	N	5.13
elbow	ankle	N	3.13
wealth	fame	N	4.02
sorrow	shame	N	4.77
administration	management	N	7.25
communication	conversation	N	8.02
pollution	atmosphere	N	4.25
anatomy	biology	N	5.33
college	profession	N	3.12
book	topic	N	2.07
formula	equation	N	7.95
book	information	N	5
boy	partner	N	1.9
sky	universe	N	4.68
population	people	N	7.68
college	class	N	4.13
chief	mayor	N	4.85
rabbi	minister	N	7.62
meter	inch	N	5.08
polyester	cotton	N	5.63
lawyer	banker	N	1.88
violin	instrument	N	6.58
camp	cabin	N	4.2
pot	appliance	N	2.53
linen	fabric	N	7.47
whiskey	champagne	N	5.33
girl	child	N	5.38
cottage	cabin	N	7.72
bird	hen	N	7.03
racket	noise	N	8.1
sunset	evening	N	5.98
drizzle	rain	N	9.17
adult	baby	N	2.22
charcoal	coal	N	7.63
body	spine	N	4.78
head	nail	N	2.47
log	timber	N	8.05
spoon	cup	N	2.02
body	nerve	N	3.13
man	husband	N	5.32
bone	neck	N	2.53
frustration	anger	N	6.5
river	sea	N	5.72
task	job	N	8.87
club	society	N	5.23
reflection	image	N	7.27
prince	king	N	5.92
snow	weather	N	5.48
people	party	N	2.2
boy	brother	N	6.67
root	grass	N	3.55
brow	eye	N	3.82
money	pearl	N	2.1
money	diamond	N	3.42
vehicle	bus	N	6.47
cab	bus	N	5.6
house	barn	N	4.33
finger	palm	N	3.33
car	bridge	N	0.95
effort	difficulty	N	4.45
fact	insight	N	4.77
job	management	N	3.97
cancer	sickness	N	7.93
word	newspaper	N	2.47
composer	writer	N	6.58
actor	singer	N	4.52
shelter	hut	N	6.47
bathroom	kitchen	N	3.1
cabin	hut	N	6.53
door	kitchen	N	1.67
value	belief	N	7.07
wisdom	intelligence	N	7.47
ignorance	intelligence	N	1.5
happiness	luck	N	2.38
idea	scheme	N	6.75
mood	emotion	N	8.12
happiness	peace	N	6.03
despair	misery	N	7.22
logic	arithmetic	N	3.97
denial	confession	N	1.03
argument	criticism	N	5.08
aggression	hostility	N	8.48
hysteria	confusion	N	6.33
chemistry	theory	N	3.17
trial	verdict	N	3.33
comfort	safety	N	5.8
confidence	self	N	3.12
vision	perception	N	6.88
era	decade	N	5.4
biography	fiction	N	1.38
discussion	argument	N	5.48
code	symbol	N	6.03
danger	disease	N	3
accident	catastrophe	N	5.9
journey	trip	N	8.88
activity	movement	N	7.15
gossip	news	N	5.22
father	god	N	3.57
action	course	N	5.45
fever	illness	N	7.65
aviation	flight	N	8.18
game	action	N	4.85
molecule	air	N	3.05
home	state	N	2.58
word	literature	N	4.77
adult	guardian	N	6.9
newspaper	information	N	5.65
communication	television	N	5.6
cousin	uncle	N	4.63
author	reader	N	1.6
guy	partner	N	3.57
area	corner	N	2.07
ballad	song	N	7.53
wall	decoration	N	2.62
word	page	N	2.92
nurse	scientist	N	2.08
politician	president	N	7.38
president	mayor	N	5.68
book	essay	N	4.72
man	warrior	N	4.72
article	journal	N	6.18
breakfast	supper	N	4.4
crowd	parade	N	3.93
aisle	hallway	N	6.75
teacher	rabbi	N	4.37
hip	lip	N	1.43
book	article	N	5.43
room	cell	N	4.58
box	booth	N	3.8
daughter	kid	N	4.17
limb	leg	N	6.9
liver	lung	N	2.7
classroom	hallway	N	2
mountain	ledge	N	3.73
car	elevator	N	1.03
bed	couch	N	3.42
clothes	button	N	2.3
clothes	coat	N	5.35
kidney	organ	N	6.17
apple	sauce	N	1.43
chicken	steak	N	3.73
car	hose	N	0.87
tobacco	cigarette	N	7.5
student	professor	N	1.95
baby	daughter	N	5
pipe	cigar	N	6.03
milk	juice	N	4.05
box	cigar	N	1.25
apartment	hotel	N	3.33
cup	cone	N	3.17
horse	ox	N	3.02
throat	nose	N	2.8
bone	teeth	N	4.17
bone	elbow	N	3.78
bacon	bean	N	1.22
cup	jar	N	5.13
proof	fact	N	7.3
appointment	engagement	N	6.75
birthday	year	N	1.67
word	clue	N	2.53
author	creator	N	8.02
atom	carbon	N	3.1
archbishop	bishop	N	7.05
letter	paragraph	N	4
page	paragraph	N	3.03
steeple	chapel	N	7.08
muscle	bone	N	3.65
muscle	tongue	N	5
boy	soldier	N	2.15
belly	abdomen	N	8.13
guy	girl	N	3.33
bed	chair	N	3.5
clothes	jacket	N	5.15
gun	knife	N	3.65
tin	metal	N	5.63
bottle	container	N	7.93
hen	turkey	N	6.13
meat	bread	N	1.67
arm	bone	N	3.83
neck	spine	N	5.32
apple	lemon	N	4.05
agony	grief	N	7.63
assignment	task	N	8.7
night	dawn	N	2.95
dinner	soup	N	3.72
calf	bull	N	4.93
snow	storm	N	4.8
nail	hand	N	3.42
dog	horse	N	2.38
arm	neck	N	1.58
ball	glove	N	1.75
flu	fever	N	6.08
fee	salary	N	3.72
nerve	brain	N	3.88
beast	animal	N	7.83
dinner	chicken	N	2.85
girl	maid	N	2.93
child	boy	N	5.75
alcohol	wine	N	7.42
nose	mouth	N	3.73
street	car	N	2.38
bell	door	N	2.2
box	hat	N	1.3
belief	impression	N	5.95
bias	opinion	N	5.6
attention	awareness	N	8.73
anger	mood	N	4.1
elegance	style	N	5.72
beauty	age	N	1.58
book	theme	N	2.58
friend	mother	N	2.53
vitamin	iron	N	5.55
car	factory	N	2.75
pact	condition	N	2.45
chapter	choice	N	0.48
arithmetic	rhythm	N	2.35
winner	presence	N	1.08
belief	flower	N	0.4
winner	goal	N	3.23
trick	size	N	0.48
choice	vein	N	0.98
hymn	conquest	N	0.68
endurance	band	N	0.4
jail	choice	N	1.08
condition	boy	N	0.48
flower	endurance	N	0.4
hole	agreement	N	0.3
doctor	temper	N	0.48
fraternity	door	N	0.68
task	woman	N	0.68
fraternity	baseball	N	0.88
cent	size	N	0.4
presence	door	N	0.48
mouse	management	N	0.48
task	highway	N	0.48
liquor	century	N	0.4
task	straw	N	0.68
island	task	N	0.3
night	chapter	N	0.48
pollution	president	N	0.68
gun	trick	N	0.48
bath	trick	N	0.58
diet	apple	N	1.18
cent	wife	N	0.58
chapter	tail	N	0.3
course	stomach	N	0.58
hymn	straw	N	0.4
dentist	colonel	N	0.4
wife	straw	N	0.4
hole	wife	N	0.68
pupil	president	N	0.78
bath	wife	N	0.48
people	cent	N	0.48
formula	log	N	1.77
woman	fur	N	0.58
apple	sunshine	N	0.58
gun	dawn	N	1.18
meal	waist	N	0.98
camera	president	N	0.48
liquor	band	N	0.68
stomach	vein	N	2.35
gun	fur	N	0.3
couch	baseball	N	0.88
worker	camera	N	0.68
deck	mouse	N	0.48
rice	boy	N	0.4
people	gun	N	0.68
cliff	tail	N	0.3
ankle	window	N	0.3
princess	island	N	0.3
container	mouse	N	0.3
wagon	container	N	2.65
people	balloon	N	0.48
dollar	people	N	0.4
bath	balloon	N	0.4
stomach	bedroom	N	0.4
bicycle	bedroom	N	0.4
log	bath	N	0.4
bowl	tail	N	0.48
go	come	V	2.42
take	steal	V	6.18
listen	hear	V	8.17
think	rationalize	V	8.25
occur	happen	V	9.32
vanish	disappear	V	9.8
multiply	divide	V	1.75
plead	beg	V	9.08
begin	originate	V	8.2
protect	defend	V	9.13
kill	destroy	V	5.9
create	make	V	8.72
accept	reject	V	0.83
ignore	avoid	V	6.87
carry	bring	V	5.8
leave	enter	V	0.95
choose	elect	V	7.62
lose	fail	V	7.33
encourage	discourage	V	1.58
achieve	accomplish	V	8.57
make	construct	V	8.33
listen	obey	V	4.93
inform	notify	V	9.25
receive	give	V	1.47
borrow	beg	V	2.62
take	obtain	V	7.1
advise	recommend	V	8.1
imitate	portray	V	6.75
win	succeed	V	7.9
think	decide	V	5.13
greet	meet	V	6.17
agree	argue	V	0.77
enjoy	entertain	V	5.92
destroy	make	V	1.6
save	protect	V	6.58
give	lend	V	7.22
understand	know	V	7.47
take	receive	V	5.08
accept	acknowledge	V	6.88
decide	choose	V	8.87
accept	believe	V	6.75
keep	possess	V	8.27
roam	wander	V	8.83
succeed	fail	V	0.83
spend	save	V	0.55
leave	go	V	7.63
come	attend	V	8.1
know	believe	V	5.5
gather	meet	V	7.3
make	earn	V	7.62
forget	ignore	V	3.07
multiply	add	V	2.7
shrink	grow	V	0.23
arrive	leave	V	1.33
succeed	try	V	3.98
accept	deny	V	1.75
arrive	come	V	7.05
agree	differ	V	1.05
send	receive	V	1.08
win	dominate	V	5.68
add	divide	V	2.3
kill	choke	V	4.92
acquire	get	V	8.82
participate	join	V	7.7
leave	remain	V	2.53
go	enter	V	4
take	carry	V	5.23
forget	learn	V	1.18
appoint	elect	V	8.17
engage	marry	V	5.43
ask	pray	V	3.72
go	send	V	3.75
take	deliver	V	4.37
speak	hear	V	3.02
analyze	evaluate	V	8.03
argue	rationalize	V	4.2
lose	keep	V	1.05
compare	analyze	V	8.1
disorganize	organize	V	1.45
go	allow	V	3.62
take	possess	V	7.2
learn	listen	V	3.88
destroy	construct	V	0.92
create	build	V	8.48
steal	buy	V	1.13
kill	hang	V	4.45
forget	know	V	0.92
create	imagine	V	5.13
do	happen	V	4.23
win	accomplish	V	7.85
give	deny	V	1.43
deserve	earn	V	5.8
get	put	V	1.98
locate	find	V	8.73
appear	attend	V	6.28
know	comprehend	V	7.63
pretend	imagine	V	8.47
satisfy	please	V	7.67
cherish	keep	V	4.85
argue	differ	V	5.15
overcome	dominate	V	6.25
behave	obey	V	7.3
cooperate	participate	V	6.43
achieve	try	V	4.42
fail	discourage	V	3.33
begin	quit	V	1.28
say	participate	V	3.82
come	bring	V	2.42
declare	announce	V	9.08
read	comprehend	V	4.7
take	leave	V	2.47
proclaim	announce	V	8.18
acquire	obtain	V	8.57
conclude	decide	V	7.75
please	plead	V	2.98
argue	prove	V	4.83
ask	plead	V	6.47
find	disappear	V	0.77
inspect	examine	V	8.75
verify	justify	V	4.08
assume	predict	V	4.85
learn	evaluate	V	4.17
argue	justify	V	5
make	become	V	4.77
discover	originate	V	4.83
achieve	succeed	V	7.5
give	put	V	3.65
understand	listen	V	4.68
expand	grow	V	8.27
borrow	sell	V	1.73
keep	protect	V	5.4
explain	prove	V	4.1
assume	pretend	V	3.72
agree	please	V	4.13
forgive	forget	V	3.92
clarify	explain	V	8.33
understand	forgive	V	4.87
remind	forget	V	0.87
get	remain	V	1.6
realize	discover	V	7.47
require	inquire	V	1.82
ignore	ask	V	1.07
think	inquire	V	4.77
reject	avoid	V	4.78
argue	persuade	V	6.23
pursue	persuade	V	3.17
accept	forgive	V	3.73
do	quit	V	1.17
investigate	examine	V	8.1
discuss	explain	V	6.67
owe	lend	V	2.32
explore	discover	V	8.48
complain	argue	V	4.8
withdraw	reject	V	6.38
keep	borrow	V	2.25
beg	ask	V	6
arrange	organize	V	8.27
reduce	shrink	V	8.02
speak	acknowledge	V	4.67
give	borrow	V	2.22
kill	defend	V	2.63
disappear	shrink	V	5.8
deliver	carry	V	3.88
breathe	choke	V	1.37
acknowledge	notify	V	5.3
become	seem	V	2.63
pretend	seem	V	4.68
accomplish	become	V	4
contemplate	think	V	8.82
determine	predict	V	5.8
please	entertain	V	5
remain	retain	V	5.75
pretend	portray	V	7.03
forget	retain	V	0.63
want	choose	V	4.78
lose	get	V	0.77
try	think	V	2.62
become	appear	V	4.77
leave	ignore	V	4.42
accept	recommend	V	2.75
leave	wander	V	3.57
keep	give	V	1.05
give	allow	V	5.15
bring	send	V	2.97
absorb	learn	V	5.48
acquire	find	V	6.38
leave	appear	V	0.97
create	destroy	V	0.63
begin	go	V	7.42
get	buy	V	5.08
collect	save	V	6.67
replace	restore	V	5.73
join	add	V	8.1
join	marry	V	5.35
accept	deliver	V	1.58
attach	join	V	7.75
put	hang	V	3
go	sell	V	0.97
communicate	pray	V	3.55
give	steal	V	0.5
add	build	V	4.92
bring	restore	V	2.62
comprehend	satisfy	V	2.55
portray	decide	V	1.18
organize	become	V	1.77
give	know	V	0.88
say	verify	V	4.9
cooperate	join	V	5.18
arrange	require	V	0.98
borrow	want	V	1.77
investigate	pursue	V	7.15
ignore	explore	V	0.4
bring	complain	V	0.98
enter	owe	V	0.68
portray	notify	V	0.78
remind	sell	V	0.4
absorb	possess	V	5
join	acquire	V	2.85
send	attend	V	1.67
gather	attend	V	4.8
absorb	withdraw	V	2.97
attend	arrive	V	6.08
